001  00312 |Loss: 0.447 | Acc: 83.844% 
001  00313 |Loss: 0.446 | Acc: 83.856% 
001  00314 |Loss: 0.446 | Acc: 83.882% 
001  00315 |Loss: 0.445 | Acc: 83.904% 
001  00316 |Loss: 0.445 | Acc: 83.910% 
001  00317 |Loss: 0.445 | Acc: 83.929% 
001  00318 |Loss: 0.444 | Acc: 83.945% 
001  00319 |Loss: 0.444 | Acc: 83.951% 
001  00320 |Loss: 0.443 | Acc: 83.972% 
001  00321 |Loss: 0.442 | Acc: 83.998% 
001  00322 |Loss: 0.442 | Acc: 84.021% 
001  00323 |Loss: 0.441 | Acc: 84.041% 
001  00324 |Loss: 0.441 | Acc: 84.052% 
001  00325 |Loss: 0.440 | Acc: 84.077% 
001  00326 |Loss: 0.440 | Acc: 84.083% 
001  00327 |Loss: 0.439 | Acc: 84.103% 
001  00328 |Loss: 0.439 | Acc: 84.127% 
001  00329 |Loss: 0.438 | Acc: 84.147% 
001  00330 |Loss: 0.437 | Acc: 84.176% 
001  00331 |Loss: 0.437 | Acc: 84.186% 
001  00332 |Loss: 0.437 | Acc: 84.210% 
001  00333 |Loss: 0.436 | Acc: 84.234% 
001  00334 |Loss: 0.436 | Acc: 84.235% 
001  00335 |Loss: 0.435 | Acc: 84.242% 
001  00336 |Loss: 0.435 | Acc: 84.245% 
001  00337 |Loss: 0.435 | Acc: 84.259% 
001  00338 |Loss: 0.434 | Acc: 84.266% 
001  00339 |Loss: 0.434 | Acc: 84.285% 
001  00340 |Loss: 0.433 | Acc: 84.311% 
001  00341 |Loss: 0.433 | Acc: 84.320% 
001  00342 |Loss: 0.432 | Acc: 84.338% 
001  00343 |Loss: 0.432 | Acc: 84.343% 
001  00344 |Loss: 0.431 | Acc: 84.368% 
001  00345 |Loss: 0.431 | Acc: 84.398% 
001  00346 |Loss: 0.430 | Acc: 84.416% 
001  00347 |Loss: 0.430 | Acc: 84.431% 
001  00348 |Loss: 0.430 | Acc: 84.445% 
001  00349 |Loss: 0.429 | Acc: 84.469% 
001  00350 |Loss: 0.428 | Acc: 84.487% 
001  00351 |Loss: 0.428 | Acc: 84.515% 
001  00352 |Loss: 0.427 | Acc: 84.530% 
001  00353 |Loss: 0.427 | Acc: 84.561% 
001  00354 |Loss: 0.426 | Acc: 84.585% 
001  00355 |Loss: 0.425 | Acc: 84.606% 
001  00356 |Loss: 0.425 | Acc: 84.612% 
001  00357 |Loss: 0.425 | Acc: 84.633% 
001  00358 |Loss: 0.424 | Acc: 84.648% 
001  00359 |Loss: 0.424 | Acc: 84.664% 
001  00360 |Loss: 0.423 | Acc: 84.679% 
001  00361 |Loss: 0.423 | Acc: 84.695% 
001  00362 |Loss: 0.422 | Acc: 84.722% 
001  00363 |Loss: 0.422 | Acc: 84.745% 
001  00364 |Loss: 0.422 | Acc: 84.761% 
001  00365 |Loss: 0.421 | Acc: 84.777% 
001  00366 |Loss: 0.421 | Acc: 84.789% 
001  00367 |Loss: 0.420 | Acc: 84.816% 
001  00368 |Loss: 0.420 | Acc: 84.823% 
001  00369 |Loss: 0.419 | Acc: 84.845% 
001  00370 |Loss: 0.419 | Acc: 84.859% 
001  00371 |Loss: 0.418 | Acc: 84.876% 
001  00372 |Loss: 0.418 | Acc: 84.877% 
001  00373 |Loss: 0.418 | Acc: 84.880% 
001  00374 |Loss: 0.418 | Acc: 84.887% 
001  00375 |Loss: 0.417 | Acc: 84.910% 
001  00376 |Loss: 0.417 | Acc: 84.926% 
001  00377 |Loss: 0.417 | Acc: 84.924% 
001  00378 |Loss: 0.417 | Acc: 84.945% 
001  00379 |Loss: 0.416 | Acc: 84.965% 
001  00380 |Loss: 0.416 | Acc: 84.975% 
001  00381 |Loss: 0.415 | Acc: 84.990% 
001  00382 |Loss: 0.415 | Acc: 84.995% 
001  00383 |Loss: 0.415 | Acc: 85.013% 
001  00384 |Loss: 0.414 | Acc: 85.020% 
001  00385 |Loss: 0.414 | Acc: 85.024% 
001  00386 |Loss: 0.414 | Acc: 85.031% 
001  00387 |Loss: 0.413 | Acc: 85.045% 
001  00388 |Loss: 0.413 | Acc: 85.052% 
001  00389 |Loss: 0.413 | Acc: 85.066% 
001  00390 |Loss: 0.413 | Acc: 85.074% 
001  00391 |Loss: 0.412 | Acc: 85.094% 
001  00392 |Loss: 0.412 | Acc: 85.108% 
001  00393 |Loss: 0.412 | Acc: 85.128% 
001  00394 |Loss: 0.411 | Acc: 85.138% 
001  00395 |Loss: 0.411 | Acc: 85.148% 
001  00396 |Loss: 0.411 | Acc: 85.172% 
001  00397 |Loss: 0.410 | Acc: 85.180% 
001  00398 |Loss: 0.410 | Acc: 85.192% 
001  00399 |Loss: 0.409 | Acc: 85.209% 
001  00400 |Loss: 0.409 | Acc: 85.217% 
001  00401 |Loss: 0.409 | Acc: 85.232% 
001  00402 |Loss: 0.408 | Acc: 85.248% 
001  00403 |Loss: 0.408 | Acc: 85.259% 
001  00404 |Loss: 0.408 | Acc: 85.272% 
001  00405 |Loss: 0.407 | Acc: 85.276% 
001  00406 |Loss: 0.407 | Acc: 85.293% 
001  00407 |Loss: 0.407 | Acc: 85.304% 
001  00408 |Loss: 0.406 | Acc: 85.315% 
001  00409 |Loss: 0.406 | Acc: 85.321% 
001  00410 |Loss: 0.406 | Acc: 85.335% 
001  00411 |Loss: 0.406 | Acc: 85.346% 
001  00412 |Loss: 0.405 | Acc: 85.371% 
001  00413 |Loss: 0.405 | Acc: 85.387% 
001  00414 |Loss: 0.404 | Acc: 85.400% 
001  00415 |Loss: 0.404 | Acc: 85.424% 
001  00416 |Loss: 0.403 | Acc: 85.436% 
001  00417 |Loss: 0.403 | Acc: 85.450% 
001  00418 |Loss: 0.403 | Acc: 85.463% 
001  00419 |Loss: 0.402 | Acc: 85.486% 
001  00420 |Loss: 0.402 | Acc: 85.497% 
001  00421 |Loss: 0.401 | Acc: 85.514% 
001  00422 |Loss: 0.401 | Acc: 85.519% 
001  00423 |Loss: 0.401 | Acc: 85.529% 
001  00424 |Loss: 0.400 | Acc: 85.543% 
001  00425 |Loss: 0.400 | Acc: 85.555% 
001  00426 |Loss: 0.400 | Acc: 85.569% 
001  00427 |Loss: 0.399 | Acc: 85.581% 
001  00428 |Loss: 0.399 | Acc: 85.600% 
001  00429 |Loss: 0.399 | Acc: 85.617% 
001  00430 |Loss: 0.398 | Acc: 85.636% 
001  00431 |Loss: 0.398 | Acc: 85.642% 
001  00432 |Loss: 0.398 | Acc: 85.661% 
001  00433 |Loss: 0.397 | Acc: 85.678% 
001  00434 |Loss: 0.397 | Acc: 85.687% 
001  00435 |Loss: 0.397 | Acc: 85.695% 
001  00436 |Loss: 0.397 | Acc: 85.699% 
001  00437 |Loss: 0.396 | Acc: 85.707% 
001  00438 |Loss: 0.396 | Acc: 85.727% 
001  00439 |Loss: 0.396 | Acc: 85.738% 
001  00440 |Loss: 0.395 | Acc: 85.749% 
001  00441 |Loss: 0.395 | Acc: 85.757% 
001  00442 |Loss: 0.395 | Acc: 85.763% 
001  00443 |Loss: 0.394 | Acc: 85.773% 
001  00444 |Loss: 0.394 | Acc: 85.779% 
001  00445 |Loss: 0.394 | Acc: 85.797% 
001  00446 |Loss: 0.394 | Acc: 85.804% 
001  00447 |Loss: 0.393 | Acc: 85.824% 
001  00448 |Loss: 0.393 | Acc: 85.828% 
001  00449 |Loss: 0.393 | Acc: 85.831% 
001  00450 |Loss: 0.392 | Acc: 85.844% 
001  00451 |Loss: 0.392 | Acc: 85.846% 
001  00452 |Loss: 0.392 | Acc: 85.855% 
001  00453 |Loss: 0.392 | Acc: 85.865% 
001  00454 |Loss: 0.391 | Acc: 85.877% 
001  00455 |Loss: 0.391 | Acc: 85.874% 
001  00456 |Loss: 0.391 | Acc: 85.883% 
001  00457 |Loss: 0.391 | Acc: 85.895% 
001  00458 |Loss: 0.391 | Acc: 85.900% 
001  00459 |Loss: 0.390 | Acc: 85.910% 
001  00460 |Loss: 0.390 | Acc: 85.910% 
001  00461 |Loss: 0.390 | Acc: 85.917% 
001  00462 |Loss: 0.390 | Acc: 85.924% 
001  00463 |Loss: 0.390 | Acc: 85.932% 
001  00464 |Loss: 0.389 | Acc: 85.944% 
001  00465 |Loss: 0.389 | Acc: 85.961% 
001  00466 |Loss: 0.389 | Acc: 85.963% 
001  00467 |Loss: 0.388 | Acc: 85.963% 
001  00468 |Loss: 0.388 | Acc: 85.966% 
001  00469 |Loss: 0.388 | Acc: 85.963% 
002  00470 |Loss: 0.253 | Acc: 90.625% 
002  00471 |Loss: 0.225 | Acc: 91.797% 
002  00472 |Loss: 0.228 | Acc: 91.927% 
002  00473 |Loss: 0.232 | Acc: 91.211% 
002  00474 |Loss: 0.223 | Acc: 91.875% 
002  00475 |Loss: 0.206 | Acc: 92.578% 
002  00476 |Loss: 0.207 | Acc: 92.522% 
002  00477 |Loss: 0.205 | Acc: 92.773% 
002  00478 |Loss: 0.200 | Acc: 92.969% 
002  00479 |Loss: 0.201 | Acc: 92.812% 
002  00480 |Loss: 0.213 | Acc: 92.543% 
002  00481 |Loss: 0.220 | Acc: 92.253% 
002  00482 |Loss: 0.218 | Acc: 92.428% 
002  00483 |Loss: 0.220 | Acc: 92.411% 
002  00484 |Loss: 0.223 | Acc: 92.188% 
002  00485 |Loss: 0.230 | Acc: 91.943% 
002  00486 |Loss: 0.239 | Acc: 91.774% 
002  00487 |Loss: 0.242 | Acc: 91.623% 
002  00488 |Loss: 0.238 | Acc: 91.694% 
002  00489 |Loss: 0.241 | Acc: 91.445% 
002  00490 |Loss: 0.247 | Acc: 91.257% 
002  00491 |Loss: 0.244 | Acc: 91.264% 
002  00492 |Loss: 0.243 | Acc: 91.236% 
002  00493 |Loss: 0.241 | Acc: 91.309% 
002  00494 |Loss: 0.239 | Acc: 91.375% 
002  00495 |Loss: 0.238 | Acc: 91.346% 
002  00496 |Loss: 0.241 | Acc: 91.291% 
002  00497 |Loss: 0.242 | Acc: 91.239% 
002  00498 |Loss: 0.241 | Acc: 91.298% 
002  00499 |Loss: 0.238 | Acc: 91.458% 
002  00500 |Loss: 0.241 | Acc: 91.431% 
002  00501 |Loss: 0.242 | Acc: 91.357% 
002  00502 |Loss: 0.242 | Acc: 91.288% 
002  00503 |Loss: 0.242 | Acc: 91.337% 
002  00504 |Loss: 0.241 | Acc: 91.384% 
002  00505 |Loss: 0.239 | Acc: 91.450% 
002  00506 |Loss: 0.238 | Acc: 91.491% 
002  00507 |Loss: 0.237 | Acc: 91.447% 
002  00508 |Loss: 0.240 | Acc: 91.366% 
002  00509 |Loss: 0.241 | Acc: 91.289% 
002  00510 |Loss: 0.240 | Acc: 91.330% 
002  00511 |Loss: 0.240 | Acc: 91.332% 
002  00512 |Loss: 0.240 | Acc: 91.334% 
002  00513 |Loss: 0.239 | Acc: 91.406% 
002  00514 |Loss: 0.238 | Acc: 91.424% 
002  00515 |Loss: 0.237 | Acc: 91.491% 
002  00516 |Loss: 0.237 | Acc: 91.439% 
002  00517 |Loss: 0.237 | Acc: 91.439% 
002  00518 |Loss: 0.235 | Acc: 91.454% 
